区域气象站信息表																										
序号	站号	经度	纬度	站名	分区号	所在机构																				
1	58015	116.33	34.42	砀山	1	砀山县																				
2	58016	116.97	34.18	萧县	1	萧县																				
3	58102	115.77	33.87	亳州	1	亳州市																				
4	58107	115.38	33.07	临泉	1	临泉县																				
5	58108	115.35	33.27	界首	1	界首市																				
6	58109	115.72	33.17	太和	1	太和县																				
7	58113	116.78	33.93	濉溪	1	濉溪县																				
8	58114	116.2	33.5	涡阳	1	涡阳县																				
9	58116	116.82	33.98	淮北市	1	淮北市																				
10	58117	116.2	33.15	利辛	1	利辛县																				
11	58118	116.53	33.28	蒙城	1	蒙城县																				
12	58122	116.98	33.63	宿州市	1	宿州市																				
13	58125	117.55	33.55	灵璧	1	灵璧县																				
14	58126	117.87	33.47	泗县	1	泗县																				
15	58128	117.32	33.3	固镇	1	固镇县																				
16	58203	115.82	32.92	阜阳市	1	阜阳市																				
17	58127	117.2	32.97	怀远	2	怀远县																				
18	58129	117.88	33.13	五河	2	五河县																				
19	58202	115.58	32.63	阜南	2	阜南县																				
20	58210	116.22	32.57	颍上	2	颍上县																				
21	58212	116.7	32.72	凤台	2	凤台县																				
22	58214	116.28	32.33	霍邱	2	霍邱县																				
23	58215	116.78	32.55	寿县	2	寿县																				
24	58220	117.15	32.47	长丰	2	长丰县																				
25	58221	117.38	32.95	蚌埠市	2	蚌埠市																				
26	58222	117.55	32.87	凤阳	2	凤阳县																				
27	58223	117.98	32.78	嘉山	2	明光市																				
28	58224	117.02	32.65	淮南市	2	淮南市																				
29	58225	117.67	32.53	定远	3	定远县																				
30	58230	118.27	32.1	全椒	3	全椒县																				
31	58234	118.42	32.45	来安	3	来安县																				
32	58236	118.3	32.3	滁县	3	滁州市																				
33	58240	119.02	32.68	天长	3	天长市																				
34	58311	116.5	31.75	六安市	3	六安市																				
35	58316	116.95	31.47	舒城	3	舒城县																				
36	58319	116.95	31.07	桐城	3	桐城市																				
37	58320	117.13	31.73	肥西	3	肥西县																				
38	58321	117.23	31.87	合肥市	3	合肥市																				
39	58323	117.47	31.88	肥东	3	肥东县																				
40	58326	117.87	31.62	巢县	3	巢湖市																				
41	58327	117.28	31.25	庐江	3	庐江县																				
42	58330	118.12	31.72	含山	3	含山县																				
43	58329	117.9	31.32	无为	4	无为县																				
44	58331	118.37	31.73	和县	4	和县																				
45	58334	118.38	31.33	芜湖市	4	芜湖市																				
46	58335	118.5	31.57	当涂	4	当涂县																				
47	58336	118.52	31.7	马鞍山	4	马鞍山市																				
48	58337	118.18	31.08	繁昌	4	繁昌县																				
49	58338	118.58	31.15	芜湖县	4	芜湖县																				
50	58414	116.28	30.43	太湖	4	太湖县																				
51	58416	116.65	30.42	怀宁	4	怀宁县																				
52	58417	116.13	30.17	宿松	4	宿松县																				
53	58418	116.7	30.13	望江	4	望江县																				
54	58419	117.02	30.1	东至	4	东至县																				
55	58420	117.22	30.72	枞阳	4	枞阳县																				
56	58421	117.87	30.63	青阳	4	青阳县																				
57	58424	117.05	30.53	安庆市	4	安庆市																				
58	58427	117.48	30.67	贵池	4	贵池区																				
59	58429	117.78	30.97	铜陵市	4	铜陵市																				
60	58431	118.32	30.85	南陵	4	南陵县																				
61	58433	118.75	30.93	宣城	4	宣城市																				
62	58306	115.88	31.68	金寨	5	金寨县																				
63	58314	116.32	31.4	霍山	5	霍山县																				
64	58317	116.37	30.87	岳西	5	岳西县																				
65	58415	116.58	30.63	潜山	5	潜山县																				
66	58426	118.13	30.3	太平	6	太平县																				
67	58428	117.48	30.28	石台	6	石台县																				
68	58432	118.4	30.68	泾县	6	泾县																				
69	58435	118.53	30.3	旌德	6	旌德县																				
70	58436	118.98	30.62	宁国	6	宁国市																				
71	58438	118.58	30.08	绩溪	6	绩溪县																				
72	58441	119.42	30.88	广德	6	广德县																				
73	58442	119.18	31.13	郎溪	6	郎溪县																				
74	58520	117.72	29.85	祁门	6	祁门县																				
75	58523	117.93	29.93	黟县	6	黟县																				
76	58530	118.43	29.87	歙县	6	歙县																				
77	58531	118.28	29.72	屯溪	6	屯溪区																				
78	58534	118.18	29.78	休宁	6	休宁县																				
