机构信息表			
序号	机构名称	上一级	所属区域
1	系统机构		
2	安徽省		
3	合肥市	安徽省	江淮
4	庐阳区	合肥市	江淮
5	瑶海区	合肥市	江淮
6	蜀山区	合肥市	江淮
7	包河区	合肥市	江淮
8	肥东县	合肥市	江淮
9	肥西县	合肥市	江淮
10	长丰县	合肥市	沿淮
11	庐江县	合肥市	江淮
12	巢湖市	合肥市	江淮
13	芜湖市	安徽省	沿江
14	镜湖区	芜湖市	沿江
15	戈江区	芜湖市	沿江
16	鸠江区	芜湖市	沿江
17	三山区	芜湖市	沿江
18	无为县	芜湖市	沿江
19	芜湖县	芜湖市	沿江
20	繁昌县	芜湖市	沿江
21	南陵县	芜湖市	沿江
22	蚌埠市	安徽省	沿淮
23	太子湖区	蚌埠市	沿淮
24	蚌山区	蚌埠市	沿淮
25	禹会区	蚌埠市	沿淮
26	淮上区	蚌埠市	沿淮
27	五河县	蚌埠市	沿淮
28	固镇县	蚌埠市	淮北
29	怀远县	蚌埠市	沿淮
30	淮南市	安徽省	沿淮
31	大通区	淮南市	沿淮
32	田家庵区	淮南市	沿淮
33	谢家集区	淮南市	沿淮
34	八公山区	淮南市	沿淮
35	潘集区	淮南市	沿淮
36	凤台县	淮南市	沿淮
37	马鞍山市	安徽省	沿江
38	花山区	马鞍山市	沿江
39	雨山区	马鞍山市	沿江
40	博望区	马鞍山市	沿江
41	含山县	马鞍山市	江淮
42	和县	马鞍山市	沿江
43	当涂县	马鞍山市	沿江
44	淮北市	安徽省	淮北
45	相山区	淮北市	淮北
46	杜集区	淮北市	淮北
47	烈山区	淮北市	淮北
48	濉溪县	淮北市	淮北
49	铜陵市	安徽省	沿江
50	铜官山区	铜陵市	沿江
51	狮子山区	铜陵市	沿江
52	铜陵县	铜陵市	沿江
53	安庆市	安徽省	沿江
54	迎江区	安庆市	沿江
55	大观区	安庆市	沿江
56	宜秀区	安庆市	沿江
57	怀宁县	安庆市	沿江
58	桐城市	安庆市	江淮
59	枞阳县	安庆市	沿江
60	潜山县	安庆市	大别山区
61	太湖县	安庆市	沿江
62	宿松县	安庆市	沿江
63	望江县	安庆市	沿江
64	岳西县	安庆市	大别山区
65	黄山市	安徽省	皖南山区
66	屯溪区	黄山市	皖南山区
67	黄山区	黄山市	皖南山区
68	徽州区	黄山市	皖南山区
69	歙县	黄山市	皖南山区
70	休宁县	黄山市	皖南山区
71	黟县	黄山市	皖南山区
72	祁门县	黄山市	皖南山区
73	阜阳市	安徽省	淮北
74	颍州区	阜阳市	淮北
75	颍泉区	阜阳市	淮北
76	颍东区	阜阳市	淮北
77	颍上县	阜阳市	沿淮
78	界首市	阜阳市	淮北
79	临泉县	阜阳市	淮北
80	阜南县	阜阳市	沿淮
81	太和县	阜阳市	淮北
82	宿州市	安徽省	淮北
83	埇桥区	宿州市	淮北
84	萧县	宿州市	淮北
85	砀山县	宿州市	淮北
86	灵璧县	宿州市	淮北
87	泗县	宿州市	淮北
88	滁州市	安徽省	江淮
89	琅琊区	滁州市	江淮
90	南谯区	滁州市	江淮
91	天长市	滁州市	江淮
92	明光市	滁州市	沿淮
93	全椒县	滁州市	江淮
94	来安县	滁州市	江淮
95	凤阳县	滁州市	沿淮
96	定远县	滁州市	江淮
97	六安市	安徽省	江淮
98	金安区	六安市	江淮
99	裕安区	六安市	江淮
100	寿县	六安市	沿淮
101	霍邱县	六安市	沿淮
102	霍山县	六安市	大别山区
103	金寨县	六安市	大别山区
104	舒城县	六安市	江淮
105	宣城市	安徽省	沿江
106	宣城区	宣城市	沿江
107	郎溪县	宣城市	皖南山区
108	广德县	宣城市	皖南山区
109	宁国市	宣城市	皖南山区
110	泾县	宣城市	皖南山区
111	绩溪县	宣城市	皖南山区
112	旌德县	宣城市	皖南山区
113	池州市	安徽省	皖南山区
114	东至县	池州市	皖南山区
115	贵池区	池州市	沿江
116	青阳区	池州市	皖南山区
117	青阳县	池州市	沿江
118	石台县	池州市	皖南山区
119	亳州市	安徽省	淮北
120	谯城区	亳州市	沿江
121	蒙城县	亳州市	淮北
122	涡阳县	亳州市	淮北
123	利辛县	亳州市	淮北
124	太平县	黄山市	皖南山区
